year,team,seed,adj_em,adj_o,adj_d,tempo,sos,barthag,wab,elite_sos,ncsos,conf_winpct
2013,Notre Dame,7,17.18,114.11,96.93,48.0,0.6728,0.867171,3.84,0.7009,0.4507,0.6111
2013,Ohio State,2,23.83,114.72,90.89,50.0,0.7087,0.935711,7.15,0.6471,0.4455,0.7222
2013,Oklahoma,10,14.63,111.8,97.17,158.0,0.6707,0.83384,0.38,0.7162,0.5778,0.6111
2013,Oklahoma State,5,18.43,108.84,90.41,156.0,0.643,0.894105,3.18,0.7308,0.4956,0.7222
2013,Ole Miss,12,14.22,111.21,96.99,44.0,0.5847,0.828311,1.68,0.7723,0.3785,0.6667
2013,Oregon,12,15.85,105.94,90.09,31.0,0.652,0.865746,2.9,0.7365,0.4028,0.6667
2013,Pacific,15,3.55,106.05,102.5,78.0,0.5109,0.596729,-4.97,0.83,0.7064,0.7222
2013,Pittsburgh,8,21.38,114.06,92.68,218.0,0.6268,0.915799,3.11,0.722,0.3548,0.6667
2013,Saint Louis,4,20.29,109.17,88.87,170.0,0.6197,0.914142,3.89,0.7768,0.4713,0.8125
2013,Saint Mary's,11,18.89,115.25,96.36,112.0,0.5843,0.88685,2.69,0.7886,0.5322,0.875
2013,San Diego State,7,16.2,107.13,90.93,247.0,0.6679,0.86819,0.49,0.7394,0.5553,0.5625
2013,South Dakota State,13,6.19,111.15,104.95,100.0,0.4341,0.659144,-3.03,0.8449,0.547,0.8125
2013,Southern,16,-1.28,96.92,98.21,153.0,0.3009,0.462219,-5.53,0.8963,0.5472,0.8333
